,Month,month,Traffic -> User Conversion Rate,K-Factor (Users),Paid Traffic (Installs / Visitors),Marketing Spend / Month,MoM Retention (Users),MoM Retention (Subscribers),K-Factor (Subscribers),User -> Subscriber Conversion Rate,Organic / Social Visitors,Cost / New User,New Acquired Users (Paid),Viral Acquired Visitors,New Organic + Viral Visitors,(All Channels) New Users,(All Channels) Retained Users,(All Channels) (New + Retained) Users,(New) Subscribers,(Retained) Subscribers,(All) Total Current Subscribers,(All Channels) Cumulative New Users
11,11,11,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,6500,8.0,1250.0,813.655601742862,1828.4139004357155,3078.4139004357157,650.9244813942896,3403.8761411328605,340.3876141132861,130.18489627885793,470.572510392144,27954.93461633337
12,12,12,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,7000,8.0,1250.0,850.9690352832152,1962.7422588208037,3212.7422588208037,680.775228226572,3553.1298729340897,355.312987293409,136.15504564531443,491.4680329387234,31167.67687515417
13,13,13,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,8000,8.333333333333334,3000.0,888.2824682335224,2666.4847404700567,5666.484740470057,710.6259745868178,6021.797727763466,903.2696591645199,142.1251949173636,1045.3948540818835,36834.16161562423
14,14,14,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,9000,8.333333333333334,3000.0,2745.3402762229007,3523.60208286687,6523.60208286687,2107.6292047172133,7727.961628419564,1159.1942442629345,541.9617954987119,1701.1560397616463,43357.7636984911
15,15,15,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,10000,8.333333333333334,3000.0,3658.236664621707,4097.470999386512,7097.470999386512,2704.7865699468475,8643.063325070425,1296.4594987605637,695.5165465577606,1991.9760453183244,50455.23469787761
16,16,16,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,11000,8.333333333333334,3000.0,4121.217345134278,4536.365203540284,7536.365203540284,3025.0721637746487,9264.97786855437,1389.7466802831555,777.8756992563382,2167.6223795394935,57991.599901417896
17,17,17,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,12000,8.333333333333334,3000.0,4428.531940601579,4928.559582180473,7928.559582180473,3242.7422539940294,9781.555155891347,1467.233273383702,833.8480081698932,2301.081281553595,65920.15948359837
18,18,18,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,13000,8.333333333333334,3000.0,4679.649156207737,5303.89474686232,8303.89474686232,3423.5443045619713,10260.205778040588,1539.0308667060883,880.3399640302212,2419.3708307363095,74224.0542304607
19,19,19,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,14000,8.333333333333334,3000.0,4910.539254795005,5673.161776438501,8673.161776438501,3591.072022314206,10725.202932046617,1608.7804398069925,923.418520023653,2532.1989598306454,82897.2160068992
20,20,20,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,15000,8.333333333333334,3000.0,5134.147492762196,6040.244247828658,9040.244247828658,3753.821026216316,11185.28483423798,1677.792725135697,965.2682638841954,2643.0609890198925,91937.46025472785
21,21,21,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,16000,8.333333333333334,3000.0,5355.13426336849,6406.540279010547,9406.540279010547,3914.8496919832933,11643.597245858144,1746.5395868787216,1006.6756350814182,2753.21522196014,101344.00053373839
22,22,22,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,17000,8.333333333333334,3000.0,5575.177305663304,6772.55319169899,9772.55319169899,4075.25903605035,12101.272640870617,1815.1908961305924,1047.923752127233,2863.114648257825,111116.55372543738
23,23,23,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,18000,8.333333333333334,3000.0,5794.880605767522,7138.464181730256,10138.464181730256,4235.445424304716,12558.71870990438,1883.807806485657,1089.1145376783554,2972.9223441640124,121255.01790716764
24,24,24,0.3,0.3,2.5,25000,0.5,0.6,1.0,0.15,19000,8.333333333333334,3000.0,6014.461598683089,7504.338479604927,10504.338479604927,4395.551548466533,13016.082221585802,1952.4123332378704,1130.2846838913943,3082.6970171292646,131759.35638677256
